PROJECTS,MENTORS      ,NUMBER OF MENTORS,   MENTEES     ,PROJECT LINKS              ,PROJECT IMAGE LINK        ,PREREQUISITES        
Neural Quest," Isha Arora , Karan Godara , Khushang Singhla ",3,upto 10,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project250.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item250.jpg,"Python and Numpy are a plus but no hard pre reqs, can learn them on the go"
To the Quantum Future," Anand Narasimhan , Krishna N Agaram , Ameya Deshmukh ",3,upto 9,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project251.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item251.jpg,|Enjoyed MA106 :)
Street Fighter II - Reinforcement Learning,Vijay Balsubramaniam,1,5 to 10,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project252.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item252.png,Enthusiasm
Combinatorial Computing," Soham Joshi , Ameya Vikrama Singh , Adarsh Reddy ",3,4 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project253.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item253.png,"Basics of C++ Programming, Enthusiasm towards puzzles :)"
Navigating the Waters of AI," Atharv Kshirsagar , Kushal Gajbe , Omkar Nitsure ",3,7 to 8,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project255.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item255.png,"|    ""CS101"
Autonomous Driving Vehicle," Kartik Gokhale , Sarthak Mittal ",2,upto 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project256.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item256.jpg,Enthusiasm to work towards a larger project
Author Identification through Stylometric Analysis,Mani Praneeth Chilukuri,1,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project257.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item257.jpg,Enthusiasm
Breakout Genius - Using RL to Build an AI Game Master," Omm Agrawal , Ayan Minham Khan , Sabyasachi Samantaray ",3,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project258.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item258.jpg,Basic python is mandatory
Image Captioning," Sabyasachi Samantaray , Nikhil Biradar ",2,7 to 9,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project259.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item259.jpg,Basic knowledge of python and libraries
Cricbuzz," Jaswanth Naidu , Kajal(200050056) ",2,upto 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project260.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item260.jpeg,asic programming techniques (CS101 will be sufficient) Experience in JavaScript or in general Web Development would be an advantage(Soft Prerequisite). 
Competitive Programming (CP)," Gowtham S , Siddharth Bhuva(210050149) ,  Rishit Shrivastava (210050136) ",2,upto 10,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project261.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item261.jpg,asics of programming in C++ 
Economics meets Machine Learning," Tejas Sanjaykumar Pagare , Param Rathour (190070049) ",2,4 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project262.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item262.png,"Familiarity with Python. Knowledge of Probability, Statistics. Prior knowledge of Machine Learning and Economics will be helpful. "
"SynerG Lab, CSE Department - Webpage",Debojeet Das,1,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project263.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item263.jpg,Enthusiasm
Computer vision for driverless vehicles," Yash Rampuria , Aryan Bhosale ",2,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project264.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/itemss.jpg,Mentees will be given exposure to coding in python and hence prior coding experience is a bonus but definitely not a must as they will be taught the same
AudioHive A Social Audio App," Abhijit Amrendra Kumar , Atishay Jain ,  Harshit Morj ",2,10 to 12,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project265.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/audio_hive.png,"It is open to all individuals who have a keen interest in web and app development. Basic skills like HTML and CSS are preferred but are not hard pre requisites. Other than that, enthusiasm and a willingness to learn and participate is much appreciated."
Learning the Latent structure in LLMs,Darshan Makwana,1,upto 10,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project266.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item266.png,"Enthusiasm is the most fundamental prerequisite apart from basics of probability theory, statistical machine learning. Python is a very hard prerequisite"
EdConnect," Gyana Prakash Beria , Shlok Nemani (19D070054) ,  Hiren Bavaskar (190050049) ",2,upto 4,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project267.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item267.jpeg,Enthusiasm
NFTs Where Art and Tech Converge," Amit Kumar , Divyam Gupta ",2,upto 8,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project268.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item268.jpeg,"As a mentor, here are some pre requisites that I would expect from the mentees:"
Dive into the World of Quant," Prajwal Raut , Sahil Khan (200020112) ",2,upto 10,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project269.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item269.png,"A bit of technical analysis(can learn along the project), and ofcourse enthu :)"
COLLIDE,"Parth Pujari ,  Anish Kulkarni",1,upto 8,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project270.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item270.png,|C++ at the level of CS101
Image Processing and Object Detection,Suyash Waghmare & Prajyot Pandit Chakre (21b080022),1,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project271.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item271.png,N/A
Unreal IITB," Harshit Morj , Kartik Gokhale ",2,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project272.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item272.jpg,"|No prereqs per se but an interest in game development, 3D modeling, and a passion for creating interactive experiences."
Human Pose Estimation," Om Godage , Shubham Hazra ",2,upto 7,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project273.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item273.png,Enthusiasm
Find me out," Omkar Nitsure , Dhruvi Ganatra ",2,upto 10,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project274.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item274.jpeg,Enthusiasm
Sign Language Recogniser," Shruti Bahulekar , Ananya Agrawal(21b030005) ",2,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project275.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item275.jpg,Enthusiasm
"E-Commerce Website for VibSpecLab, IIT Bombay",Ojas Jain,1,4 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project276.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item276.png,"HTML, CSS, JS, Angular (Not very important)"
Image Caption Generator,Satwik Murarka,1,upto 4,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project277.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item277.png,asic proficiency in Python
Intro Full stack web development:Restaurant website," Durgesh Sahane , Aryan Adinath Popalghat ",2,5 to 8,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project278.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-1.png,N/A
App for Credit rating of Retailers in Clothing Industry,Onkar Borade,1,10 to 12,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project279.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-2.png,"""High Enthu!"
Ray Tracing,Anand Bhaskar,1,upto 4,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project280.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-3.png,No prerequisites as such. A lot of enthusiasm and curiosity.
YOLO-Cam-Object Detection based Analytics," Aryan Goyal , VIDHAN JAIN ",2,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project281.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-4.png,None or any background in python and ML is appreciated
Physically Based Rendering,Ishan Chaudhari,1,upto 3,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project282.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-5.jpg,"Desire to see the project to completion and be involved in implementing ""Medium C++ and Object Oriented Programming Skills Required."
A Secure Erasure Code-Based Cloud Storage System with Secure Data Forwarding," Khushang Singla , Nilabha Saha ",2,4 to 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project283.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-6.png,Desired but not necessary):
Graph Machine Learning,Shlesh Gholap,1,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project284.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-7.jpg,"A fundamental grasp of deep learning and linear algebra is essential. If you have experience with PyTorch, that's even better. Prior knowledge of graph theory isn't required. "
âThe Watchdogsâ - Solving a murder mystery using Computer Vision and Data Science," Agamjot Singh , Aastha Sancheti ",2,6 to 10,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project285.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-8.jpg,"Python, maybe some prev computer vision knowledge and a lot of enthusiasm ðª"
ArgueAI," Abhinav Raghuvanshi , Pranav Malpure , Rohan Kalbag ",3,upto 4,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project286.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-9.jpg,"We expect huge enthusiasm, a good hold over python, and not to be afraid to take on mathematical challenges. Knowledge of Machine learning is definitely a bonus! Please note that these are not hard prerequisites, we will consider your application based on your overall skills. "
Comic GPT,Lakshay Gupta,1,upto 4,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project288.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-10.png,No huge prereqs
InstiNav," Rishi Tunuguntla , Rishikesh Gunjal ",2,upto 4,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project289.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-11.png,"|MATLAB and Python are the preferred programming languages for this project, and experience with image processing libraries such as OpenCV, PyTorch, or TensorFlow is definitely a plus. However, if you are not confident in these areas, we encourage you to apply still!"
Face detection for attendance using AI," Akash Prasad , Tushaar Jhamtani ",2,upto 3,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project290.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-12.png,N/A
Hands on Reinforcement," Ashwin Abraham , Jujhaar (200110052) , Prerak Contractor (210050124) , Sankalp Bhamare (200110096)"" ",4,10 to 12,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project291.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item-13.png,"|Since this is a continuation of the WiDS projects, ideally, the applicants would have been mentees in one of these WiDS projects."
RegExamaton," Hrishikesh Jedhe Deshmukh , Ayush Agarwal (210050029) ",2,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project293.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item0.png, Familarity in C++ 
Institute OnChain Voting System with ZKPs," Nikhil Tiwari , Ananya Khandelwal , Ishit Garg ",3,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project294.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/blockchian.jpeg, Enthusiasm and development knowledge 
Using Deep RL and NLP to allocate stocks in portfolio," Nikhil Tiwari , Ishan Jain (200100073) ",2,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project295.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/stock.jpeg, Enthusiasm 
Blockchain Development- It's not that difficult!," Pragyesh Gupta , Dhruvkumar Patil (200100056) , Harsh Choudhary (200070023) ",3,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project296.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item296.jpeg, Enthusiasm 
Light field imaging and Dual Attention Networks," Abeer Mishra , Shreyas Patil (200260052) ",2,upto 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project297.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item297.png," Basic level coding in python is an essential pre requisite. Can be relaxed in case mentee demonstrates eagerness to learn Python from scratch. Prior experience using image processing libraries like PIL and OpenCV or Python ML frameworks like TensorFlow, PyTorch, Keras or Sklearn is aencouraged but not required.  "
Stable Diffusion," Shubham Hazra , Om Godage (21d100006) , Kartik Gokhale (200100083) ",3,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project298.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item298.jpg,|Basic Python and willingness to learn
FlappeRL," Kartik Gokhale , Hastyn Doshi ",2,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project299.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item299.webp,|Basic Python and willingness to learn
Hands-on Computational Physics," Kaustav Prasada , Varad Mahashabde (200260057) ",2,5 to 8,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project300.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item300.png,"|""Familiarity with any programming language (e.g. python, C++) or any computing/graphing tool (MATLAB, GeoGebra, Desmos)"
Image Colorization,Valay Bundele,1,5 to 8,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project301.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item301.png,"|Mention your previous coding experience, ML/DL experience (if any) in the proposal."
PaperPal," Vishruth N , Abhinav Raghuvanshi (200040008) ",2,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project302.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item302.png,Strong coding skills and ability to write clean code
JobFinderX," Baggam Rakshan Tej (210070019) , Pamba Ravindra Mohith (210050112) ",2,5 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project303.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item303.jpeg,|Come with lots of Enthusiasm. No pre requisites as such. 
